图鉴编号	PokeAPI编号	日文名	中文名	英文名	是否默认形态	第一属性	第二属性	第一特性	第二特性	隐藏特性	体重(kg)	HP	攻击	防御	特攻	特防	速度	种族值总和	日文图鉴说明	英文图鉴说明	中文图鉴说明
1	1	フシギダネ	妙蛙种子	bulbasaur	TRUE	grass	poison	overgrow		chlorophyll	6.9	45	49	49	65	65	45	318	生まれて　しばらくの　あいだ 背中の　タネに　つまった 栄養を　とって　育つ。	"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."	在出生后的一段时间内， 它会吸收背上种子里 储存着的营养成长。
2	2	フシギソウ	妙蛙草	ivysaur	TRUE	grass	poison	overgrow		chlorophyll	13	60	62	63	80	80	60	405	太陽の　光を　浴びるほど 体に　力が　わいて　背中の つぼみが　育っていく。	Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.	沐浴在阳光下越久， 身体内会涌出越多力量， 背上的花苞也会渐渐成长。
3	3	フシギバナ	妙蛙花	venusaur	TRUE	grass	poison	overgrow		chlorophyll	100	80	82	83	100	100	80	525	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。
3	10033	フシギバナ（メガシンカ）	妙蛙花（超级进化）	venusaur-mega	FALSE	grass	poison	thick-fat			155.5	80	100	123	122	120	80	625	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。
3	10195	フシギバナ（キョダイマックス）	妙蛙花（超极巨化）	venusaur-gmax	FALSE	grass	poison	overgrow		chlorophyll	1000	80	82	83	100	100	80	525	花から　うっとりする　香りが ただよい　戦うものの　気持ちを なだめてしまう。	A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.	花朵散发出的迷人香味 能安抚激动的心情， 甚至消弭斗争。
4	4	ヒトカゲ	小火龙	charmander	TRUE	fire		blaze		solar-power	8.5	39	52	43	60	50	65	309	生まれたときから　しっぽに　炎が ともっている。　炎が　消えたとき その　命は　終わって　しまう。	"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."	生下来的时候， 尾巴上就有火焰在燃烧。 火焰熄灭时，它的生命也会结束。
5	5	リザード	火恐龙	charmeleon	TRUE	fire		blaze		solar-power	19	58	64	58	80	65	80	405	戦いで　気持ちが　たかぶると 灼熱の　炎を　吹きながら あたりを　燃やしてまわる。	"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."	如果它在战斗中亢奋起来， 就会喷出灼热的火焰， 把周围的东西烧得一干二净。
6	6	リザードン	喷火龙	charizard	TRUE	fire	flying	blaze		solar-power	90.5	78	84	78	109	85	100	534	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。
6	10034	リザードン（メガシンカX）	喷火龙（超级进化X）	charizard-mega-x	FALSE	fire	dragon	tough-claws			110.5	78	130	111	130	85	100	634	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。
6	10035	リザードン（メガシンカY）	喷火龙（超级进化Y）	charizard-mega-y	FALSE	fire	flying	drought			100.5	78	104	78	159	115	100	634	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。
6	10196	リザードン（キョダイマックス）	喷火龙（超极巨化）	charizard-gmax	FALSE	fire	flying	blaze		solar-power	1000	78	84	78	109	85	100	534	地上　１４００メートル　まで 羽を　使って　飛ぶことができる。 高熱の　炎を　吐く。	"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."	能用翅膀飞到距地面 １４００米的高度。 会吐出高温火焰。
7	7	ゼニガメ	杰尼龟	squirtle	TRUE	water		torrent		rain-dish	9	44	48	65	50	64	43	314	危なくなると　甲羅に　手足を 引っこめて　身を　守りながら 口から　水を　吹き出している。	"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."	当它遇到危险的时候， 会将四肢收回龟壳里保护自己， 同时从嘴里喷出水来。
8	8	カメール	卡咪龟	wartortle	TRUE	water		torrent		rain-dish	22.5	59	63	80	65	80	58	405	ふさふさの　耳と　しっぽを たくみに　操って　水中での バランスを　たもつ。	It cleverly controls its furry ears and tail to maintain its balance while swimming.	会灵巧地摆动自己 毛茸茸的耳朵和尾巴， 借此在水中保持平衡。
9	9	カメックス	水箭龟	blastoise	TRUE	water		torrent		rain-dish	85.5	79	83	100	85	105	78	530	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。
9	10036	カメックス（メガシンカ）	水箭龟（超级进化）	blastoise-mega	FALSE	water		mega-launcher			101.1	79	103	120	135	115	78	630	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。
9	10197	カメックス（キョダイマックス）	水箭龟（超极巨化）	blastoise-gmax	FALSE	water		torrent		rain-dish	1000	79	83	100	85	105	78	530	甲羅の　ロケット砲　から 噴き出した　ジェット水流は ぶ厚い　鉄板も　つらぬく。	The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.	从龟壳上的大炮里 放出的喷射水流 足以贯穿厚实的铁板。
10	10	キャタピー	绿毛虫	caterpie	TRUE	bug		shield-dust		run-away	2.9	45	30	35	20	20	45	195	脚は　短いが　吸盤に なっているので　坂でも　壁でも くたびれることなく　進んでいく。	Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.	别看它的脚很短， 因为是吸盘，所以无论是 斜坡还是墙壁都能轻松前进。
11	11	トランセル	铁甲蛹	metapod	TRUE	bug		shed-skin			9.9	50	20	55	25	25	30	205	硬い　殻に　包まれているが 中身は　軟らかいので 強い　攻撃には　耐えられない。	"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."	虽然有坚硬的外壳， 因为壳里的身体很软， 所以无法抵抗强力的攻击。
12	12	バタフリー	巴大蝶	butterfree	TRUE	bug	flying	compound-eyes		tinted-lens	32	60	45	50	90	80	70	395	毎日　ミツを　集めまわる。 脚の　産毛に　ミツを　塗りこんで 巣に　持ち帰る　習性をもつ。	It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.	每天都忙着采集花蜜。 习惯往腿部的细毛上涂满花蜜， 然后带回巢穴里。
12	10198	バタフリー（キョダイマックス）	巴大蝶（超极巨化）	butterfree-gmax	FALSE	bug	flying	compound-eyes		tinted-lens	1000	60	45	50	90	80	70	395	毎日　ミツを　集めまわる。 脚の　産毛に　ミツを　塗りこんで 巣に　持ち帰る　習性をもつ。	It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.	每天都忙着采集花蜜。 习惯往腿部的细毛上涂满花蜜， 然后带回巢穴里。
13	13	ビードル	独角虫	weedle	TRUE	bug	poison	shield-dust		run-away	3.2	40	35	30	20	20	50	195	頭に　鋭い　ハリを　もつ。 森や　草地の　茂みに　隠れ ひたすら　ハッパを　食べている。	Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.	头上长有尖锐的针。 它喜欢藏在森林或 草丛里大量吞食树叶。
14	14	コクーン	铁壳蛹	kakuna	TRUE	bug	poison	shed-skin			10	45	25	50	25	25	35	205	自分では　ほとんど　動けないが 危なくなると　ハリを出して 毒を　与えることも　あるらしい。	"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."	虽然几乎动也动不了， 但是如果遇到了危险， 有时似乎会竖起毒刺来反抗。
15	15	スピアー	大针蜂	beedrill	TRUE	bug	poison	swarm		sniper	29.5	65	90	40	45	80	75	395	両手と　お尻にある　３本の 毒バリで　相手を　刺して 刺して　刺しまくって　攻撃する。	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	它会用双手和 尾部的３根毒针 反复刺伤敌人。
15	10090	スピアー（メガシンカ）	大针蜂（超级进化）	beedrill-mega	FALSE	bug	poison	adaptability			40.5	65	150	40	15	80	145	495	両手と　お尻にある　３本の 毒バリで　相手を　刺して 刺して　刺しまくって　攻撃する。	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	它会用双手和 尾部的３根毒针 反复刺伤敌人。
16	16	ポッポ	波波	pidgey	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	1.8	40	45	40	35	35	56	251	おとなしい　性格で　襲われても 反撃　せずに　砂を　かけて 身を　守ることが　多い。	"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."	性格沉着冷静，即使受到 攻击也很少反击，只会朝 对手扬起沙子保护自己。
17	17	ピジョン	比比鸟	pidgeotto	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	30	63	60	55	50	50	71	349	あり余る　体力の　持ち主で 広い　縄張りを　飛びまわり 遠くまで　エサを　探しにいく。	This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.	拥有超群的体力，而且 飞翔范围广，经常飞到 很远的地方寻找食物。
18	18	ピジョット	大比鸟	pidgeot	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	39.5	83	80	75	70	70	101	479	マッハ２で　飛行し　エサを探す。 その　大きな　ツメは　武器と しても　恐れられている。	"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."	以２马赫的飞行速度来 觅食。它巨大的爪子是 非常令人惧怕的武器。
18	10073	ピジョット（メガシンカ）	大比鸟（超级进化）	pidgeot-mega	FALSE	normal	flying	no-guard			50.5	83	80	80	135	80	121	579	マッハ２で　飛行し　エサを探す。 その　大きな　ツメは　武器と しても　恐れられている。	"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."	以２马赫的飞行速度来 觅食。它巨大的爪子是 非常令人惧怕的武器。
19	19	コラッタ	小拉达	rattata	TRUE	normal		run-away	guts	hustle	3.5	30	56	35	25	35	72	253	キバが２つ。とにかく　なんでも かじってみる。１匹　見つけたら ４０匹は　そこに　住んでるはず。	"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."	有两颗大门牙，见什么咬什么。 只要看到１只小拉达出没， 附近肯定还住着40只以上。
19	10091	コラッタ（アローラのすがた）	小拉达（阿罗拉的样子）	rattata-alola	FALSE	dark	normal	gluttony	hustle	thick-fat	3.8	30	56	35	25	35	72	253	前歯は　死ぬまで　伸び続けるので メンテナンスが　必要。　ヤスリを 用意しないと　柱を　かじられる。	"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."	门牙会终生生长，所以必须要保养。 不准备好锉刀的话，会把柱子都啃掉。
20	20	ラッタ	拉达	raticate	TRUE	normal		run-away	guts	hustle	18.5	55	81	60	50	70	97	413	後ろ足にある　小さな　水かきで 川を　泳ぐのは　水の中の エサを　捕るためだ。	"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."	它的后脚上长着 小蹼，以便它在 水中游泳寻找食物。
20	10092	ラッタ（アローラのすがた）	拉达（阿罗拉的样子）	raticate-alola	FALSE	dark	normal	gluttony	hustle	thick-fat	25.5	75	71	70	40	80	77	413	泳ぐのが　得意。　後ろ足に 小さな　水かきが　ついていて 河や　ときに　海を　渡ることも。	"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."	游泳很在行。后脚带有小小的蹼， 会渡过河流，有时还会渡过大海。
