id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
1,はたく,拍击,pound,normal,physical,40,100,0,35,長い　しっぽや　手などを　使って 相手を　はたいて　攻撃する。,使用长长的尾巴或手等 拍打对手进行攻击。,"The target is physically pounded with a long tail, a foreleg, or the like.",,攻击目标造成伤害。,Inflicts regular damage.,102,1
2,からてチョップ,空手劈,karate-chop,fighting,physical,50,100,0,25,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,攻击目标造成伤害。击中要害率比大部分招式高1级。,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,11,2
3,おうふくビンタ,连环巴掌,double-slap,normal,physical,15,85,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",2~5回攻撃する連続攻撃技の1つ。連続攻撃技としての仕様はそちらを参照。,攻击目标造成伤害，一回合内连续攻击2～5次。命中时，各有15%的几率攻击5或4次，35%的几率攻击3或2次，攻击次数的数学期望是3.1次，对应的威力的数学期望是46.5。携带机变骰子且命中时，各有1⁄2的几率攻击5或4次，攻击次数的数学期望是4.5次，对应的威力的数学期望是67.5。每一击击中要害的概率都相等。如果某一下触发了目标的气势披带、气势头带、结实特性或打破了替身，招式会继续攻击。忍耐、金属爆炸和双倍奉还只计算最后一次的伤害。如果使用者持有王者之证或锐利之牙，或具有恶臭特性，每一下攻击都有相同的概率造成对手畏缩。如果使用者具有毒手特性，每一下攻击都有相同的概率造成对手中毒。如果目标拥有咒术之躯、碎裂铠甲或与接触类招式相关的特性或持有凸凸头盔，每一下攻击都会触发效果。即使特性发动令攻击方陷入一些可能无法行动的状态（如麻痹、畏缩、着迷、定身法状态），也不会影响本次攻击，但陷入睡眠和昏厥时攻击即刻停止。目标的木乃伊、游魂或甩不掉的气味特性会在第一下攻击之后就发动。使用方的顺手牵羊特性或目标的变色特性在最后一下攻击完成后才发动。,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",43,1
4,れんぞくパンチ,连续拳,comet-punch,normal,physical,18,85,0,15,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",2~5回攻撃する連続攻撃技の1つ。連続攻撃技としての仕様はそちらを参照。。特性がてつのこぶしのポケモンが使うと、威力が1.2倍になる。,攻击目标造成伤害，一回合内连续攻击2～5次。命中时，各有15%的几率攻击5或4次，35%的几率攻击3或2次，攻击次数的数学期望是3.1次，对应的威力的数学期望是55.8。携带机变骰子且命中时，各有1⁄2的几率攻击5或4次，攻击次数的数学期望是4.5次，对应的威力的数学期望是81。每一击击中要害的概率都相等。如果某一下触发了目标的气势披带、气势头带、结实特性或打破了替身，招式会继续攻击。忍耐、金属爆炸和双倍奉还只计算最后一次的伤害。如果使用者持有王者之证或锐利之牙，或具有恶臭特性，每一下攻击都有相同的概率造成对手畏缩。如果使用者具有毒手特性，每一下攻击都有相同的概率造成对手中毒。如果目标拥有咒术之躯、碎裂铠甲或与接触类招式相关的特性或持有凸凸头盔，每一下攻击都会触发效果。即使特性发动令攻击方陷入一些可能无法行动的状态（如麻痹、畏缩、着迷、定身法状态），也不会影响本次攻击，但陷入睡眠和昏厥时攻击即刻停止。目标的木乃伊、游魂或甩不掉的气味特性会在第一下攻击之后就发动。使用方的顺手牵羊特性或目标的变色特性在最后一下攻击完成后才发动。,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",9,1
5,メガトンパンチ,百万吨重拳,mega-punch,normal,physical,80,85,0,20,力を　こめた　パンチで 相手を　攻撃する。,用充满力量的拳头攻击对手。,The target is slugged by a punch thrown with muscle-packed power.,パンチ技の1つ。てつのこぶしやパンチグローブの効果対象となる。,攻击目标造成伤害。,Inflicts regular damage.,231,1
6,ネコにこばん,聚宝功,pay-day,normal,physical,40,100,0,20,相手の　体に 小判を　投げつけて　攻撃する。 戦闘の　あとで　お金が　もらえる。,向对手的身体 投掷小金币进行攻击。 战斗后可以拿到钱。,Coins are hurled at the target to inflict damage. Money is earned after the battle.,"おまもりこばん・こううんのおこうの効果により、拾えるお金は2倍になる。ハッピータイムの効果とも重複する。ルビー・サファイアのみ、戦闘後に表示されるメッセージでは拾えるお金が2倍になっていないが、実際に拾えるお金は2倍になっている（ファイアレッド・リーフグリーン・エメラルドではこのバグは修正されている）。デルパワー・Oパワー・ロトポンによるおこづかい上昇効果は、拾えるお金には発動しない。。第一世代では、拾ったお金は999,999円まで表示される[1]。。第二世代では、拾ったお金は5桁までしか表示されない。拾ったお金の下5桁しか表示されない場合でも、所持金を999,999円にすることはできる[2]。。第三世代・第四世代では、拾ったお金の表示の最大値は65,535円である。このとき、実際の所持金の増加量はこれよりも多い[3]。。第五世代以降では、1度の戦闘で拾えるお金の最大値は99,999円である[4][5]。ソード・シールドでは、キョダイコバンで入手できるお金とも重複する。このときも拾えるお金の最大値が99,999円であることは変わらない。。「技を使ったときのレベル」をもとに計算するため、途中でレベルが上がった場合でも使用時のレベルで計算する。例えばトレーナー戦でレベル30のときに3回使って敵を倒し、レベルが31に上がった後にさらに2回使って戦闘が終わった場合、「3×30×5＝450」＋「2×31×5＝310」で計760円となる。。技が相性などで無効化された場合や、命中しなかった場合はお金は散らばらない。。技の効果は追加効果ではないので、特性ちからずくのポケモンが使用したときや、りんぷんのポケモンに使用したときもお金が散らばる。。以下の状況では戦闘終了後にお金を拾うことができない。第三世代以降は基本的に相手を倒したことにより経験値が入る状況であればお金を拾えると考えてよい。通信対戦。バトルタワーなどのバトル施設での戦闘。マックスレイドバトル・テラレイドバトル。野生ポケモンを捕獲した場合（第二世代以外）。戦闘からにげる場合。テレポート・ふきとばし・ほえるを使ったり使われたりして戦闘が終わった場合（第一世代以外）。第一世代の場合は上記の状況で戦闘が終わった場合、ネコにこばんを使ったポケモンがひんしになっていると拾えない。ネコにこばんを使ったポケモンがひんしになっていなければ拾える。ポケモンコロシアムおよびポケモンXDのシナリオモードのバトルやまでのバトル。ポケモンコロシアムのカードeリーダーによるバーチャルトレーナー戦。。第一世代・第二世代・第八世代・第九世代は敵が使った分のお金も拾える（他の世代は未検証）。第一世代では敵の使うわざのPPが無限なので、高レベルの野生のメタモンに使ってもらえばお金を大量に稼げる。第二世代を経由し、技忘れでネコにこばん以外の技を忘れさせておけば、メタモンにネコにこばんしか使わせないことができる。",攻击目标造成伤害。每使用一次这个招式，向地上投掷5×使用者等级的金币。如果己方在对战中获胜，拾取这些金币（单次对战中最多拾取$99999）。护符金币和幸运薰香、欢乐时光、零花钱之力对聚宝功收集的金币有效，对战后会和奖金一起增加。双方使用的聚宝功分开计算。己方的多只宝可梦使用的聚宝功投掷的金币最后全部会被己方捡起。如果己方在对战中失败，对方不会拾取己方投掷的金币。使用者特性为亲子爱时，只会在第一次攻击后投掷金币。,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",68,1
7,ほのおのパンチ,火焰拳,fire-punch,fire,physical,75,100,0,15,炎を　こめた　パンチで 相手を　攻撃する。 やけど状態に　することが　ある。,用充满火焰的拳头攻击对手。 有时会让对手陷入灼伤状态。,The target is attacked with a fiery punch. This may also leave the target with a burn.,パンチ技の1つ。てつのこぶしやパンチグローブの効果対象となる。,攻击目标造成伤害。火焰拳有10%的几率使目标陷入灼伤状态。,Inflicts regular damage.  Has a 10% chance to burn the target.,209,10
8,れいとうパンチ,冰冻拳,ice-punch,ice,physical,75,100,0,15,冷気を　こめた　パンチで 相手を　攻撃する。 こおり状態に　することが　ある。,用充满寒气的拳头攻击对手。 有时会让对手陷入冰冻状态。,The target is attacked with an icy punch. This may also leave the target frozen.,パンチ技の1つ。てつのこぶしやパンチグローブの効果対象となる。,攻击目标造成伤害。冰冻拳有10%的几率使目标陷入冰冻状态。,Inflicts regular damage.  Has a 10% chance to freeze the target.,227,15
9,かみなりパンチ,雷电拳,thunder-punch,electric,physical,75,100,0,15,電撃を　こめた　パンチで 相手を　攻撃する。 まひ状態に　することが　ある。,用充满电流的拳头攻击对手。 有时会让对手陷入麻痹状态。,The target is attacked with an electrified punch. This may also leave the target with paralysis.,パンチ技の1つ。てつのこぶしやパンチグローブの効果対象となる。,攻击目标造成伤害。雷电拳有10%的几率使目标陷入麻痹状态。,Inflicts regular damage.  Has a 10% chance to paralyze the target.,264,13
10,ひっかく,抓,scratch,normal,physical,40,100,0,35,硬く　とがった　鋭い　ツメで 相手を　ひっかいて　攻撃する。,用坚硬且无比锋利的爪子 抓对手进行攻击。,"Hard, pointed, sharp claws rake the target to inflict damage.",,攻击目标造成伤害。,Inflicts regular damage.,121,1
11,はさむ,夹住,vice-grip,normal,physical,55,100,0,30,相手を　両側から　はさんで ダメージを　あたえる。,将对手从两侧夹住， 给予伤害。,The target is gripped and squeezed from both sides to inflict damage.,,攻击目标造成伤害。,Inflicts regular damage.,19,1
12,ハサミギロチン,断头钳,guillotine,normal,physical,,30,0,5,大きな　ハサミで 相手を　切り裂いて　攻撃する。 当たれば　一撃で　ひんしに　する。,用大钳子或剪刀等 夹断对手进行攻击。 只要命中就会一击濒死。,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,,极落钳造成与对手的最大ＨＰ相同的固定伤害。只要属性相性不为0倍，就能一击造成昏厥。如果自身等级低于目标，招式使用失败。此招式不使用通常命中判定：此招式对结实特性的宝可梦无效。,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",19,1
